City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,17.76,79,20,5.75,CA,1745306174
1,isafjordur,66.0755,-23.124,33.84,69,100,16.11,IS,1745306175
2,edinburgh of the seven seas,-37.0676,-12.3116,65.55,92,100,27.65,SH,1745306176
3,papao,-17.75,-149.55,76.68,86,100,20.04,PF,1745306177
4,adamstown,-25.066,-130.1015,73.89,81,97,21.36,PN,1745306178
5,rabo de peixe,37.8,-25.5833,58.51,88,40,2.3,PT,1745306179
6,papatowai,-46.5619,169.4708,53.83,94,100,16.55,NZ,1745306180
7,san patricio,28.017,-97.5169,73.35,94,2,6.89,US,1745306181
8,beau vallon,-20.4189,57.6953,86.23,70,75,6.91,MU,1745306183
9,priob'ye,62.5206,65.5964,33.85,100,100,8.7,RU,1745306184
10,petropavlovsk-kamchatsky,53.0452,158.6483,39.79,52,75,11.18,RU,1745306185
11,kipushi,-11.7667,27.2333,67.41,87,100,8.16,CD,1745306186
12,stanley,54.868,-1.6985,47.52,89,20,10.36,GB,1745306187
13,okhotsk,59.3833,143.3,32.27,88,28,3.0,RU,1745306188
14,albany,42.6001,-73.9662,49.68,85,100,1.01,US,1745306179
15,lebu,-37.6167,-73.65,58.5,99,100,9.71,CL,1745306164
16,cootamundra,-34.65,148.0333,67.68,55,100,12.66,AU,1745306192
17,klyuchi,52.2667,79.1667,55.17,29,99,5.88,RU,1745306193
18,kapuskasing,49.4169,-82.4331,32.09,100,100,10.36,CA,1745306194
19,malacatan,14.9,-92.05,79.34,90,100,3.33,GT,1745306195
20,bethel,41.3712,-73.414,50.32,87,100,1.01,US,1745306196
21,fougamou,-1.2154,10.5838,77.07,93,99,2.37,GA,1745306197
22,waitangi,-43.9535,-176.5597,61.83,98,98,5.01,NZ,1745306199
23,st. john's,47.5649,-52.7093,35.98,95,100,26.46,CA,1745306065
24,as sulayyil,20.4607,45.5779,93.87,9,0,9.22,SA,1745306201
25,port-aux-francais,-49.35,70.2167,43.56,92,100,15.79,TF,1745306202
26,hawaiian paradise park,19.5933,-154.9731,72.91,93,75,5.75,US,1745306203
27,olonkinbyen,70.9221,-8.7187,20.19,69,100,12.44,SJ,1745306204
28,pohrebyshche,49.4864,29.2636,67.95,44,6,7.7,UA,1745306205
29,anadyr,64.75,177.4833,21.7,86,75,4.47,RU,1745306208
30,greymouth,-42.4667,171.2,56.91,94,19,1.14,NZ,1745306209
31,port mathurin,-19.6833,63.4167,81.19,79,2,17.22,MU,1745306210
32,cockburn town,21.4612,-71.1419,74.14,70,100,16.78,TC,1745306211
33,selfoss,63.9331,-20.9971,28.04,55,2,6.69,IS,1745306212
34,ketchikan,55.3422,-131.6461,45.07,91,100,3.44,US,1745306213
35,ghanzi,-21.5667,21.7833,74.05,45,0,9.93,BW,1745306214
36,polyarnyy,69.1989,33.4478,27.18,75,42,12.95,RU,1745306215
37,kingston,17.997,-76.7936,77.95,57,20,3.44,JM,1745306198
38,ilulissat,69.2167,-51.1,21.22,100,100,3.44,GL,1745306218
39,hermanus,-34.4187,19.2345,59.81,79,100,20.42,ZA,1745306219
40,aasiaat,68.7098,-52.8699,12.29,99,100,4.16,GL,1745306220
41,hotan,37.0997,79.9269,60.78,39,28,2.89,CN,1745306221
42,pisco,-13.7,-76.2167,66.25,88,0,10.36,PE,1745306222
43,callao,-12.0667,-77.15,68.72,88,20,5.75,PE,1745306078
44,ilabaya,-17.4208,-70.5133,64.85,66,95,2.46,PE,1745306224
45,whitehorse,60.7161,-135.0538,36.81,69,100,8.05,CA,1745306226
46,yellowknife,62.456,-114.3525,21.72,73,40,5.75,CA,1745306227
47,margaret river,-33.95,115.0667,77.05,66,95,13.78,AU,1745306228
48,longyearbyen,78.2186,15.6401,12.04,73,20,2.3,SJ,1745306229
49,jamestown,42.097,-79.2353,49.64,82,100,11.5,US,1745306015
50,ust-nera,64.5667,143.2,37.18,92,31,2.08,RU,1745306231
51,ankazoabo,-22.2833,44.5167,84.74,50,5,1.57,MG,1745306232
52,bilibino,68.0546,166.4372,15.35,83,1,5.57,RU,1745306233
53,mananjary,-21.2167,48.3333,80.91,78,37,6.38,MG,1745306235
54,ushuaia,-54.8,-68.3,37.06,87,0,2.3,AR,1745306173
55,longboat key,27.4125,-82.659,72.01,79,0,3.0,US,1745305697
56,blackmans bay,-43.0167,147.3167,55.53,86,96,6.67,AU,1745306238
57,utrik,11.2278,169.8474,80.82,78,17,15.28,MH,1745306239
58,avarua,-21.2078,-159.775,78.85,89,75,13.8,CK,1745306241
59,grytviken,-54.2811,-36.5092,33.75,87,47,1.61,GS,1745306242
60,saipan,15.1355,145.701,86.7,66,40,10.36,MP,1745305956
61,majuro,7.0897,171.3803,82.36,78,100,8.05,MH,1745306244
62,dudinka,69.4058,86.1778,20.05,91,100,3.62,RU,1745306245
63,college,64.8569,-147.8028,39.18,66,75,5.75,US,1745306060
